Product,Stage,File,Size (KB),Type,Priority
Ai Leadership Partner Fractional Caio,04_idea_exploration_user_stories,04_ai_leadership_partner_fractional_caio_04_idea_exploration_user_stories.md,3.8,Product Planning,High
Ai Power Hour,04_idea_exploration_user_stories,01_ai_power_hour_04_idea_exploration_user_stories.md,3.7,Product Planning,High
Social Intelligence Dashboard,15_demo_qa_prep,08_social_intelligence_dashboard_15_demo_qa_prep.md,10.3,Development,Medium
Social Intelligence Dashboard,07_research_prd_skeleton,08_social_intelligence_dashboard_07_research_prd_skeleton.md,9.0,Development,Medium
Social Intelligence Dashboard,03_idea_exploration_audience_icps,08_social_intelligence_dashboard_03_idea_exploration_audience_icps.md,8.8,Development,Medium
Social Intelligence Dashboard,13_demo_demo_script,08_social_intelligence_dashboard_13_demo_demo_script.md,8.5,Development,Medium
Social Intelligence Dashboard,14_demo_slide_headlines,08_social_intelligence_dashboard_14_demo_slide_headlines.md,7.9,Development,Medium
Social Intelligence Dashboard,08_research_prd_ui_prompt,08_social_intelligence_dashboard_08_research_prd_ui_prompt.md,7.9,Development,Medium
Social Intelligence Dashboard,09_build_generate_screens,08_social_intelligence_dashboard_09_build_generate_screens.md,7.9,Development,Medium
Ai Innovation Day,15_demo_qa_prep,07_ai_innovation_day_15_demo_qa_prep.md,7.8,Development,Medium
Ai Consultancy Retainer,15_demo_qa_prep,06_ai_consultancy_retainer_15_demo_qa_prep.md,7.5,Development,Medium
Ai Innovation Programme,15_demo_qa_prep,03_ai_innovation_programme_15_demo_qa_prep.md,6.8,Development,Medium
Ai Leadership Partner Fractional Caio,15_demo_qa_prep,04_ai_leadership_partner_fractional_caio_15_demo_qa_prep.md,6.7,Development,Medium
Social Intelligence Dashboard,10_build_ui_landing_page_copy,08_social_intelligence_dashboard_10_build_ui_landing_page_copy.md,6.5,Development,Medium
Ai Powered Research And Insight Sprint,15_demo_qa_prep,05_ai_powered_research_and_insight_sprint_15_demo_qa_prep.md,6.4,Development,Medium
Social Intelligence Dashboard,11_build_ui_key_messages,08_social_intelligence_dashboard_11_build_ui_key_messages.md,6.4,Development,Medium
Ai Power Hour,15_demo_qa_prep,01_ai_power_hour_15_demo_qa_prep.md,6.4,Development,Medium
Ai Innovation Day,03_idea_exploration_audience_icps,07_ai_innovation_day_03_idea_exploration_audience_icps.md,6.3,Development,Medium
Ai Consultancy Retainer,07_research_prd_skeleton,06_ai_consultancy_retainer_07_research_prd_skeleton.md,6.1,Development,Medium
Ai Powered Research And Insight Sprint,07_research_prd_skeleton,05_ai_powered_research_and_insight_sprint_07_research_prd_skeleton.md,6.0,Development,Medium
Ai B C,03_idea_exploration_audience_icps,02_ai_b_c_03_idea_exploration_audience_icps.md,6.0,Development,Medium
Ai Innovation Programme,03_idea_exploration_audience_icps,03_ai_innovation_programme_03_idea_exploration_audience_icps.md,5.9,Development,Medium
Ai Innovation Day,07_research_prd_skeleton,07_ai_innovation_day_07_research_prd_skeleton.md,5.7,Development,Medium
Ai Innovation Day,13_demo_demo_script,07_ai_innovation_day_13_demo_demo_script.md,5.7,Development,Medium
Ai Consultancy Retainer,09_build_generate_screens,06_ai_consultancy_retainer_09_build_generate_screens.md,5.7,Development,Medium
Ai Innovation Programme,07_research_prd_skeleton,03_ai_innovation_programme_07_research_prd_skeleton.md,5.6,Development,Medium
Ai Innovation Day,08_research_prd_ui_prompt,07_ai_innovation_day_08_research_prd_ui_prompt.md,5.5,Development,Medium
Ai Innovation Day,14_demo_slide_headlines,07_ai_innovation_day_14_demo_slide_headlines.md,5.4,Development,Medium
Ai B C,08_research_prd_ui_prompt,02_ai_b_c_08_research_prd_ui_prompt.md,5.4,Development,Medium
Ai Consultancy Retainer,13_demo_demo_script,06_ai_consultancy_retainer_13_demo_demo_script.md,5.4,Development,Medium
Ai Power Hour,03_idea_exploration_audience_icps,01_ai_power_hour_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Leadership Partner Fractional Caio,03_idea_exploration_audience_icps,04_ai_leadership_partner_fractional_caio_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Consultancy Retainer,03_idea_exploration_audience_icps,06_ai_consultancy_retainer_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Consultancy Retainer,14_demo_slide_headlines,06_ai_consultancy_retainer_14_demo_slide_headlines.md,5.3,Development,Medium
Ai Powered Research And Insight Sprint,13_demo_demo_script,05_ai_powered_research_and_insight_sprint_13_demo_demo_script.md,5.2,Development,Medium
Ai Leadership Partner Fractional Caio,07_research_prd_skeleton,04_ai_leadership_partner_fractional_caio_07_research_prd_skeleton.md,5.2,Development,Medium
Ai B C,07_research_prd_skeleton,02_ai_b_c_07_research_prd_skeleton.md,5.2,Development,Medium
Ai Consultancy Retainer,08_research_prd_ui_prompt,06_ai_consultancy_retainer_08_research_prd_ui_prompt.md,5.2,Development,Medium
Ai Powered Research And Insight Sprint,08_research_prd_ui_prompt,05_ai_powered_research_and_insight_sprint_08_research_prd_ui_prompt.md,5.1,Development,Medium
Ai Innovation Day,09_build_generate_screens,07_ai_innovation_day_09_build_generate_screens.md,5.1,Development,Medium
Ai Innovation Programme,08_research_prd_ui_prompt,03_ai_innovation_programme_08_research_prd_ui_prompt.md,5.1,Development,Medium
Ai Innovation Programme,13_demo_demo_script,03_ai_innovation_programme_13_demo_demo_script.md,5.1,Development,Medium
Ai Leadership Partner Fractional Caio,09_build_generate_screens,04_ai_leadership_partner_fractional_caio_09_build_generate_screens.md,5.0,Development,Medium
Ai Innovation Programme,09_build_generate_screens,03_ai_innovation_programme_09_build_generate_screens.md,4.9,Development,Medium
