Product,Price,Total Files,Completed,Completion %,Errors,High Value Files,Status
Ai Power Hour 09 Build,£300,1,1,100.0%,0,0,✅ Complete
Ai Leadership Partner Fractional Caio 05 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 03 Idea Exploration,"£8,800",1,1,100.0%,0,1,✅ Complete
Social Intelligence Dashboard 07 Research,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 12 Demo,£300,1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 04 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 12 Demo,"£10,000",1,1,100.0%,1,1,⚠️ Has Errors
Social Intelligence Dashboard 03 Idea Exploration,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai B C 11 Build Ui,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,0,✅ Complete
Ai Leadership Partner Fractional Caio 12 Demo,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 10 Build Ui Landing,Bespoke,1,1,100.0%,0,0,✅ Complete
Ai Innovation Programme 10 Build Ui Landing,Bespoke,1,1,100.0%,0,0,✅ Complete
Ai Power Hour 08 Research Prd,£300,1,1,100.0%,0,0,✅ Complete
Ai Leadership Partner Fractional Caio 07 Research,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai B C 14 Demo,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,1,0,⚠️ Has Errors
Ai Powered Research And Insight Sprint 11 Build Ui,"£10,000",1,1,100.0%,1,0,⚠️ Has Errors
Social Intelligence Dashboard 10 Build Ui Landing,[To be determined based on scope and markets] ,1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Day 04 Idea Exploration,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 11 Build Ui,Bespoke,1,1,100.0%,0,0,✅ Complete
Social Intelligence Dashboard 05 Plan,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 13 Demo,"£10,000",1,1,100.0%,1,0,⚠️ Has Errors
Social Intelligence Dashboard 09 Build,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 03 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 05 Plan,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai B C 13 Demo,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,1,0,⚠️ Has Errors
Ai Consultancy Retainer 05 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
Social Intelligence Dashboard 11 Build Ui,[To be determined based on scope and markets] ,1,1,100.0%,1,0,⚠️ Has Errors
Ai B C 04 Idea Exploration,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 10 Build Ui Landing,Bespoke,1,1,100.0%,0,0,✅ Complete
Ai Leadership Partner Fractional Caio 13 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai B C 05 Plan,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 15 Demo,"£10,000",1,1,100.0%,1,0,⚠️ Has Errors
Ai Powered Research And Insight Sprint 01 Big Idea,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 06 Plan,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 08 Research Prd,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 08 Research Prd,Bespoke,1,1,100.0%,0,1,✅ Complete
Social Intelligence Dashboard 02 Idea Exploration,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Social Intelligence Dashboard 12 Demo,[To be determined based on scope and markets] ,1,1,100.0%,1,1,⚠️ Has Errors
Ai Powered Research And Insight Sprint 07 Research,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 11 Build Ui,Bespoke,1,1,100.0%,0,0,✅ Complete
Social Intelligence Dashboard 06 Plan,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 09 Build,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 14 Demo,£300,1,1,100.0%,1,0,⚠️ Has Errors
Ai Consultancy Retainer 07 Research,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 09 Build,"£10,000",1,1,100.0%,0,0,✅ Complete
Ai Power Hour 01 Big Idea,£300,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 15 Demo,£300,1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Day 13 Demo,"£8,800",1,1,100.0%,1,0,⚠️ Has Errors
Ai B C 07 Research,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 15 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Powered Research And Insight Sprint 02 Idea Exploration,"£10,000",1,1,100.0%,0,0,✅ Complete
Social Intelligence Dashboard 13 Demo,[To be determined based on scope and markets] ,1,1,100.0%,1,0,⚠️ Has Errors
