Product,Stage,File,Size (KB),Type,Priority
Ai Innovation Day 12 Demo,investor_deck,07_ai_innovation_day_12_demo_investor_deck.md,3.0,Fundraising,High
Ai Powered Research And Insight Sprint 12 Demo,investor_deck,05_ai_powered_research_and_insight_sprint_12_demo_investor_deck.md,2.2,Fundraising,High
Social Intelligence Dashboard 07 Research,prd_skeleton,08_social_intelligence_dashboard_07_research_prd_skeleton.md,9.0,Development,Medium
Social Intelligence Dashboard 03 Idea Exploration,audience_icps,08_social_intelligence_dashboard_03_idea_exploration_audience_icps.md,8.8,Development,Medium
Social Intelligence Dashboard 08 Research Prd,ui_prompt,08_social_intelligence_dashboard_08_research_prd_ui_prompt.md,7.9,Development,Medium
Social Intelligence Dashboard 09 Build,generate_screens,08_social_intelligence_dashboard_09_build_generate_screens.md,7.9,Development,Medium
Ai Innovation Day 03 Idea Exploration,audience_icps,07_ai_innovation_day_03_idea_exploration_audience_icps.md,6.3,Development,Medium
Ai Consultancy Retainer 07 Research,prd_skeleton,06_ai_consultancy_retainer_07_research_prd_skeleton.md,6.1,Development,Medium
Ai B C 03 Idea Exploration,audience_icps,02_ai_b_c_03_idea_exploration_audience_icps.md,6.0,Development,Medium
Ai Powered Research And Insight Sprint 07 Research,prd_skeleton,05_ai_powered_research_and_insight_sprint_07_research_prd_skeleton.md,6.0,Development,Medium
Ai Innovation Programme 03 Idea Exploration,audience_icps,03_ai_innovation_programme_03_idea_exploration_audience_icps.md,5.9,Development,Medium
Ai Innovation Day 07 Research,prd_skeleton,07_ai_innovation_day_07_research_prd_skeleton.md,5.7,Development,Medium
Ai Consultancy Retainer 09 Build,generate_screens,06_ai_consultancy_retainer_09_build_generate_screens.md,5.7,Development,Medium
Ai Innovation Programme 07 Research,prd_skeleton,03_ai_innovation_programme_07_research_prd_skeleton.md,5.6,Development,Medium
Ai Innovation Day 08 Research Prd,ui_prompt,07_ai_innovation_day_08_research_prd_ui_prompt.md,5.5,Development,Medium
Ai B C 08 Research Prd,ui_prompt,02_ai_b_c_08_research_prd_ui_prompt.md,5.4,Development,Medium
Ai Power Hour 03 Idea Exploration,audience_icps,01_ai_power_hour_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Consultancy Retainer 03 Idea Exploration,audience_icps,06_ai_consultancy_retainer_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Leadership Partner Fractional Caio 03 Idea Exploration,audience_icps,04_ai_leadership_partner_fractional_caio_03_idea_exploration_audience_icps.md,5.3,Development,Medium
Ai Leadership Partner Fractional Caio 07 Research,prd_skeleton,04_ai_leadership_partner_fractional_caio_07_research_prd_skeleton.md,5.2,Development,Medium
Ai Consultancy Retainer 08 Research Prd,ui_prompt,06_ai_consultancy_retainer_08_research_prd_ui_prompt.md,5.2,Development,Medium
Ai B C 07 Research,prd_skeleton,02_ai_b_c_07_research_prd_skeleton.md,5.2,Development,Medium
Ai Innovation Day 09 Build,generate_screens,07_ai_innovation_day_09_build_generate_screens.md,5.1,Development,Medium
Ai Innovation Programme 08 Research Prd,ui_prompt,03_ai_innovation_programme_08_research_prd_ui_prompt.md,5.1,Development,Medium
Ai Powered Research And Insight Sprint 08 Research Prd,ui_prompt,05_ai_powered_research_and_insight_sprint_08_research_prd_ui_prompt.md,5.1,Development,Medium
Ai Leadership Partner Fractional Caio 09 Build,generate_screens,04_ai_leadership_partner_fractional_caio_09_build_generate_screens.md,5.0,Development,Medium
Ai Innovation Programme 09 Build,generate_screens,03_ai_innovation_programme_09_build_generate_screens.md,4.9,Development,Medium
